emp_no,first_name,last_name,birth_date
11931,Gunilla,Chiodo,1952-10-30
11933,Basil,Erman,1953-08-15
11949,Martijn,Harbusch,1953-01-27
11983,Jaana,Hedayat,1953-01-04
11993,Marit,Dalphin,1955-10-29
12011,Zhilian,Coorg,1953-12-16
12036,Mads,Ratzlaff,1953-03-02
12037,Arunas,Katzenelson,1954-01-11
12050,Yuchang,Tchuente,1953-06-08
12062,Margareta,Worfolk,1954-01-20
12069,Ayonca,Burnard,1953-12-27
12070,Ger,Shokrollahi,1955-07-23
12076,Karlis,Siprelle,1955-03-16
12082,Xinan,Yamaashi,1953-09-20
12089,Bilhanan,Socorro,1954-06-21
12099,Nobuyoshi,Kuzuoka,1953-01-12
12112,Satyanarayana,Avouris,1953-07-01
12122,Satoru,Krone,1954-06-27
12123,Xiahua,Syrzycki,1954-07-08
12125,Shounak,Erman,1953-04-16
12149,Suebskul,Grandbois,1954-10-25
12159,Shem,Perly,1955-08-15
12165,Xiaobin,Maquelin,1952-11-19
12183,Harngdar,Iisaku,1954-06-29
12192,Feiyu,Klyachko,1954-11-06
12205,Sushant,Rossi,1955-08-24
12206,Barton,Janetzko,1954-11-21
12218,Yaghout,Strooper,1954-08-01
12221,Vincent,Melter,1955-07-14
12222,Abdelwaheb,Holburn,1953-03-04
12223,Niteen,Koyama,1954-07-27
12247,Subbu,Penttonen,1952-03-26
12249,Eldridge,Sadowski,1952-09-20
12256,Guadalupe,Reghbati,1955-02-15
12264,Mart,Pagter,1953-12-30
12270,Shakhar,Kornyak,1953-08-10
12272,Behnaam,Grandbois,1955-10-16
12308,Mototsugu,Cronau,1952-02-17
12311,Susanne,Lubachevsky,1955-02-11
12327,DAIDA,Bruckman,1952-05-21
12341,Rasiah,Luga,1955-02-13
12343,Sorina,Slaats,1952-10-18
12365,Kamakshi,Bisiani,1954-01-21
12373,Mooi,Driscoll,1953-04-26
12395,Sanjit,Felder,1955-01-08
12399,Mihalis,Luga,1955-11-15
12411,Shao,Ibel,1952-05-31
12413,Hugh,Gadepally,1955-06-17
12417,Dannz,Spelt,1955-11-18
12422,Berhard,Demos,1954-12-04
12454,Kerryn,Farris,1954-08-21
12464,Shai,Milicic,1955-09-08
12475,Filipe,Roison,1953-03-30
12487,Mona,Reghbati,1954-04-24
12489,Arnould,Munck,1955-01-23
12490,Jackson,Muchinsky,1955-08-08
12497,Stein,Penz,1953-08-26
12501,Morrie,Matheson,1954-11-22
12504,Adly,Rosaz,1953-01-04
12514,Tomofumi,Melter,1952-11-14
12528,Conor,Cincotta,1952-11-20
12534,Yongmao,Gerlach,1953-01-31
12541,Shih,Nanard,1952-04-22
12542,Kazuhide,Bouloucos,1954-07-26
12551,Jeane,Tzvieli,1954-03-15
12553,Aral,Vesna,1954-05-08
12557,Stafford,Kopetz,1954-01-01
12589,Anoosh,Chleq,1952-11-23
12596,Breannda,Roisin,1955-10-10
12601,Ghassan,Simkin,1955-08-16
12608,Nectarios,Mondadori,1955-10-27
12635,Xinyu,Restivo,1952-11-09
12638,Yuqun,Seiwald,1954-11-09
12642,Suebskul,Gips,1955-09-27
12651,Pragnesh,Bael,1952-07-24
12662,Leucio,Alvarado,1952-08-02
12663,Nobuyoshi,Stellhorn,1954-10-31
12664,Zhonghua,Parveen,1952-05-01
12689,Luerbio,Boudaillier,1953-01-19
12691,Oddvar,Gils,1952-10-17
12697,Uri,Brizzi,1955-06-25
12709,Ronghao,Botman,1955-08-09
12717,Tzu,Jiafu,1953-04-17
12722,Elliott,Cheshire,1955-09-23
12726,Fumitake,Panwar,1954-03-27
12729,Nahla,Rahier,1954-05-18
12731,Yongmao,Waymire,1953-05-09
12732,Mara,Takanami,1952-09-27
12734,Gil,Frijda,1952-03-05
12755,Rildo,Rodite,1955-02-20
12773,Jenwei,Lovengreen,1952-06-26
12790,Gunilla,Perl,1953-02-05
12795,Masoud,Fordan,1952-05-06
12798,Lillian,Beeson,1952-05-18
12803,Gad,Boissier,1952-05-12
12815,Sushant,Junot,1955-03-25
12819,Mountaz,Gubsky,1953-07-30
12848,Kazuhide,Smeets,1953-01-17
12863,Leif,Matheson,1954-08-02
12872,Marl,Schmittgen,1953-02-18
12879,Baruch,Eugenio,1955-09-07
12890,Neven,Casley,1955-10-05
12893,Licheng,Crouzet,1954-10-09
12895,Roddy,Serot,1952-04-28
12905,Munehiro,Gecsei,1955-01-24
12926,Heekeun,Luby,1952-04-24
12940,Odinaldo,Farrar,1953-10-25
12941,Tommaso,Perelgut,1954-07-29
12949,Geoff,Asrin,1955-02-24
12977,Byong,Markovitch,1954-11-29
12983,Elliott,Hambrick,1954-04-07
13030,Yahiko,Kroll,1955-02-12
13046,Vivian,Stafford,1953-03-09
13047,Atilio,Chelton,1953-04-24
13075,Rosella,Morrin,1955-05-24
13076,Deniz,Skafidas,1954-03-09
13096,Ibibia,Armand,1953-01-03
13103,Srinidhi,Ellozy,1952-05-09
13124,Quingbo,Garnick,1955-11-06
13133,Guther,Senzako,1955-06-21
13134,Lorien,Chepyzhov,1955-06-25
13144,Persi,Nollmann,1952-07-11
13146,Haldon,Erie,1953-11-01
13147,Shichao,Ginesta,1955-12-28
13156,Akeel,Millington,1952-04-19
13165,Lucian,Benner,1954-09-09
13168,Munir,Stentiford,1954-06-10
13170,Cheong,Bernardeschi,1955-10-25
13171,Anoosh,Birnbaum,1954-12-29
13173,Arve,Horswill,1953-04-20
13179,Moty,Janocha,1955-09-09
13182,Kokou,Rodite,1954-02-25
13186,Kyoichi,Barbanera,1955-06-19
13192,Rosita,Flowers,1953-01-28
13202,Aram,Scharstein,1953-05-10
13210,Jianhua,Klassen,1953-06-19
13213,Hein,Billawala,1954-12-29
13232,Mitchel,Fujisaki,1955-01-29
13233,Alselm,Chvatal,1954-08-11
13238,Ebru,Foote,1953-02-23
13240,King,Pileggi,1955-02-14
13250,Zeydy,Schusler,1954-02-20
13272,Arun,Jiang,1953-10-11
13276,Yechiam,Seuren,1955-05-07
13288,Muneo,Broomell,1952-08-24
13291,Georg,Stamatiou,1952-04-29
13302,Mack,Alencar,1954-06-21
13315,Sakthirel,Stroustrup,1955-09-08
13332,Nidapan,Pearson,1954-12-02
13333,Yoshinari,Hennebert,1953-07-17
13341,Bodh,Doering,1953-06-02
13343,Heon,Usery,1952-04-06
13368,Kiyokazu,Klassen,1953-12-29
13371,Nakhoon,Riexinger,1954-01-23
13373,Juichirou,Naumovich,1954-09-08
13385,Claudi,Buchter,1954-11-15
13386,Khosrow,Sgarro,1952-04-27
13389,Divine,Cmelik,1954-04-26
13392,Fumitake,Beidas,1953-04-05
13396,Chuanyi,Aumann,1952-05-19
13402,Augustine,Dulli,1955-05-15
13405,Randy,Baba,1954-01-19
13407,Gio,Chenoweth,1954-01-09
13408,Sreekrishna,Lagarias,1954-12-27
13415,Nathalie,Speer,1955-06-23
13422,Vishwani,Gerlach,1952-08-20
13442,Giordano,Miake,1953-03-14
13443,Mayuko,Puppo,1954-07-22
13445,Renee,Dehkordi,1954-12-22
13451,Gretta,Weiland,1952-03-21
13457,Shooichi,Parfitt,1955-06-27
13458,Feipei,Nivat,1954-12-21
13463,Theron,Berstel,1954-08-29
13465,Sasan,Rehfuss,1953-11-01
13493,Uinam,Jullig,1954-09-08
13504,Parto,Mandell,1954-01-09
13524,Chaoyi,Porotnikoff,1955-11-06
13535,Arunas,Schlenzig,1954-12-25
13546,Aimee,Brookner,1955-02-22
13549,Matk,Koprowski,1952-05-02
13552,Ingmar,Capobianchi,1955-03-23
13576,Jungsoon,Engberts,1954-08-05
13605,Dmitry,Encarnacion,1953-08-02
13621,Fei,Haddadi,1954-02-28
13624,Zhigen,Yurek,1952-12-15
13629,Dzung,Trelles,1954-09-13
13648,Zejun,Lamba,1954-03-28
13653,Kristen,Iivonen,1955-01-01
13670,Moti,Takanami,1953-05-06
13680,Denny,Speer,1953-08-08
13685,Weicheng,Hockney,1954-05-02
13697,Shuichi,Weedon,1953-04-07
13704,Vishu,Kumaresan,1955-05-26
13721,Sugwoo,Delgrossi,1952-07-01
13727,Vitali,Merey,1952-08-13
13738,Bangqing,Mitchem,1953-02-05
13766,Tremaine,Heemskerk,1952-05-03
13769,Yakichi,Trogemann,1955-10-07
13775,Arve,Maierhofer,1955-06-30
13786,Takushi,Berendt,1952-02-27
13787,Xiaobin,Sinicrope,1952-08-10
13792,Valery,Sury,1953-05-06
13796,Paloma,Thorelli,1953-07-02
13809,Kiyotoshi,Basagni,1953-07-05
13815,Guadalupe,Plotkin,1953-04-19
13825,Arlette,Pell,1955-06-12
13841,Christophe,Spinelli,1952-12-10
13842,Juichirou,Cichocki,1954-01-21
13846,Guiseppe,Welham,1952-08-01
13853,Mingsen,Roohalamini,1952-03-10
13859,Anoosh,Fujisawa,1952-08-01
13884,Kensei,Swift,1953-05-03
13894,Ult,Schonegge,1952-11-15
13904,Youngkon,Cairo,1954-02-19
13934,Shiv,Bratsberg,1953-11-20
13942,Elzbieta,Esteva,1953-04-17
13951,Mooi,Genther,1953-01-28
13960,Nechama,Hettesheimer,1953-01-03
13962,Maris,Ghelli,1955-11-14
13966,Boguslaw,Cooman,1954-01-03
13969,Jianwen,Chandrasekhar,1953-06-06
13990,Deborah,Schapiro,1952-03-07
13992,Ulises,Kenevan,1955-09-27
13999,Florian,Crouzet,1952-11-25
14005,Vojin,Stellhorn,1955-04-08
14015,Manibrata,Picaronny,1952-06-21
14034,Aloys,Seghrouchni,1952-05-07
14041,Shan,DeMori,1954-05-09
14067,Godehard,Trachtenberg,1955-04-03
14088,Mori,Leslie,1953-06-03
14107,Xiahua,Rindone,1953-01-05
14111,Leszek,Cummings,1955-03-27
14118,Kasturi,Anido,1953-03-09
14167,Adas,Hertweck,1953-08-11
14191,Jiann,Luby,1952-09-07
14209,Masanao,Kusakabe,1955-10-24
14220,Tomofumi,Pargas,1952-05-01
14232,Masali,Bojadziev,1954-09-19
14236,Xuedong,Angiulli,1952-06-14
14237,Abdulla,Gerlach,1954-10-17
14242,Sudhanshu,Benaini,1955-03-14
14257,Kwok,Massonet,1952-05-07
14290,Miyeon,Olivero,1955-01-21
14292,Susanna,Vigier,1953-08-21
14298,Chriss,Granlund,1953-10-02
14310,Marlo,Leuchs,1953-06-07
14320,Sreenivas,Schaar,1953-06-17
14322,Shem,Kakkad,1952-08-14
14323,Golgen,Leslie,1952-05-31
14340,Vitaly,Wixon,1955-01-03
14344,Otilia,Buescher,1955-02-10
14354,Mong,Bojadziev,1954-05-30
14360,Janche,Erbe,1955-05-25
14372,Saniya,Srimani,1952-04-15
14384,Tomofumi,Holburn,1954-04-30
14422,Toshimo,Gadepally,1953-10-09
14434,Elvis,Maginnis,1954-07-08
14439,Raimond,Woycyznski,1953-07-27
14460,Yagil,Lueh,1955-11-28
14478,Munehiro,Boissier,1952-05-01
14481,Moti,Lammel,1952-10-30
14483,Supot,Marrevee,1954-11-01
14486,Indrajit,Birdsall,1952-07-06
14498,Xiong,Selenyi,1953-11-03
14501,Taizo,Kroft,1952-06-11
14509,Danil,Aloia,1954-09-05
14513,Samphel,Barreiro,1953-08-02
14515,Kazuhisa,Versino,1952-02-22
14516,Kristian,Underwood,1955-10-19
14518,Patricia,Peir,1955-06-19
14522,Chuanyi,Ranta,1955-08-07
14537,Babette,Engelmann,1953-12-03
14552,Ibibia,Snyers,1953-03-21
14556,Fatemeh,Zultner,1954-08-27
14560,Elrique,Driscoll,1952-03-15
14581,Gao,Condotta,1955-08-05
14582,Kiyokazu,Morrin,1954-06-07
14600,Jayson,Cairo,1952-12-22
14603,Lech,Marquardt,1954-11-13
14607,Suzette,Selvestrel,1953-06-05
14620,Jianhua,Erev,1954-06-15
14621,Souichi,Wixon,1953-01-17
14632,Gudjon,McClurg,1955-08-02
14639,Arvind,Hempstead,1954-04-03
14640,Toshimori,Kornatzky,1952-10-17
14642,Florian,Kuhnemann,1955-06-29
14645,Laurentiu,Glinert,1955-03-06
14648,IEEE,Lorys,1955-03-28
14659,Sashi,Adachi,1952-11-19
14675,Teunis,Angel,1955-08-02
14677,Herbert,Sifakis,1955-11-29
14683,Alois,Basart,1955-03-02
14690,Yechezkel,Bellone,1953-11-07
14693,Brewster,Stranks,1952-12-08
14710,Mahmut,Hainaut,1954-06-03
14723,Constantino,Assaf,1953-08-23
14724,Aron,Lemarechal,1955-12-19
14780,Marlo,Bruckman,1952-09-08
14785,Zhonghua,Kaiser,1955-04-23
14793,Stein,Uchoa,1954-11-11
14814,Odysseas,Nishimukai,1955-09-01
14817,Gaurav,Masaki,1955-04-13
14821,Oguz,Kilgore,1954-12-09
14839,Changho,Cronin,1952-09-21
14853,Taiji,Nergos,1952-06-30
14877,Arto,Meriste,1955-11-15
14879,Anyuan,Sigstam,1954-02-18
14888,Temple,Barriga,1952-02-14
14899,Alejandro,Casley,1954-02-26
14906,Adil,Parveen,1953-01-06
14908,Kerhong,Flanders,1952-05-27
14909,Mohan,Kamble,1954-12-31
14911,Xiaobin,Chelton,1952-10-20
14914,Gretta,Benzaken,1953-04-20
14915,Huican,Picco,1952-05-20
14923,Shuzo,Gyorkos,1953-10-08
14928,Satoru,Mukaidono,1955-06-23
14941,Nathan,Lichtner,1952-03-21
14942,Heon,Benveniste,1955-01-22
14949,Insup,Reinhart,1952-09-21
14954,Fox,Magliocco,1955-04-04
14971,Fan,Simmen,1955-04-07
14983,Hyuckchul,Pouyioutas,1955-06-10
14993,Sanjay,Koblitz,1955-10-29
15005,Kiam,Sadowsky,1954-04-02
15016,Woody,Gulik,1953-05-27
15018,Ramalingam,Prenel,1954-08-08
15019,Qingxiang,Shokrollahi,1953-07-29
15029,Giordano,Koshino,1954-04-08
15030,Rasikan,Nourani,1954-02-21
15036,Ziva,Delgrande,1953-04-22
15049,Khun,Waymire,1954-12-23
15052,Flemming,Kranzdorf,1955-02-03
15055,Shrikanth,Sherertz,1953-03-26
15066,Tomokazu,Oaver,1953-06-03
15069,Manton,Siksek,1952-12-08
15071,Ayonca,Couchot,1953-10-31
15075,Radoslaw,Rijsenbrij,1952-12-13
15077,Toshiki,Taubenfeld,1954-11-29
15082,Guadalupe,Zirintsis,1953-04-06
15087,Chirstian,Ushiama,1954-10-11
15089,Giri,Coney,1952-12-01
15092,Remmert,Bahi,1955-06-22
15102,Luigi,Axelband,1952-07-02
15105,Sudhanshu,Itzigehl,1953-03-11
15114,Pantung,Honglei,1955-08-07
15134,Arun,Luiz,1952-08-02
15145,Haldon,Servieres,1954-08-16
15151,Urs,Pouyioutas,1953-11-13
15176,Charlene,Sankaranarayanan,1953-10-11
15193,Neelam,Schach,1955-12-07
15196,Souichi,Duclos,1955-03-12
15202,Pranay,Irland,1954-05-22
15208,Sudharsan,Shokrollahi,1954-08-17
15218,Shuky,Conry,1955-05-30
15228,Mona,Salvesen,1953-11-18
15230,Keiichiro,Suessmith,1954-01-10
15234,Jouko,Zhiwei,1955-10-18
15237,Reinhard,Sadowsky,1953-09-02
15243,Mountaz,Famili,1954-02-07
15248,Edwin,Baar,1952-03-17
15253,Ayonca,Pardalos,1954-03-17
15269,Eric,Reghbati,1955-11-01
15271,Shiv,Bernardeschi,1953-10-17
15292,Miyeon,Lammel,1954-12-26
15324,Ziya,Lunn,1953-05-10
15329,Fan,Openshaw,1954-12-21
15330,Jaroslava,Chinal,1955-10-08
15337,Masaru,Radivojevic,1953-10-05
15343,Chaosheng,Luce,1955-05-21
15354,Chikara,Nyrup,1954-10-08
15365,Mikhail,Schiettecatte,1952-03-09
15369,Premal,Penttonen,1952-10-11
15370,Chuanyi,Nilsson,1955-07-02
15372,Nahum,Broder,1954-01-22
15375,Shuho,Manders,1953-02-14
15377,Shugo,Aumann,1953-12-08
15382,Alassane,Siegrist,1952-07-28
15392,Pradeep,Markovitch,1955-02-07
15408,Maik,Penttonen,1955-02-27
15410,Wilmer,Kushner,1954-08-18
15412,Huai,Thiria,1954-05-17
15438,Constantijn,Munoz,1953-08-17
15441,Arvind,Weisert,1954-03-11
15452,Kazuhira,Weedman,1954-01-14
15454,Hongzue,Cesareni,1954-05-20
15470,Weiwu,Huhdanpaa,1952-03-30
15474,Gilbert,Plumb,1953-09-21
15479,Zhenbing,Soicher,1955-10-24
15480,Kwok,Trogemann,1955-08-06
15504,Kasturi,Alpin,1954-09-12
15505,Collette,Mikschl,1954-10-18
15510,Inderjeet,Sethi,1954-01-13
15511,George,Kowalchuk,1955-12-29
15518,Uno,Valtorta,1953-01-26
15525,Masadi,Cherinka,1952-02-18
15534,Guozhong,Grabner,1954-02-23
15543,Mingdong,Staelin,1954-05-25
15548,Sanjai,Caine,1954-12-07
15563,Constantino,Zykh,1952-03-10
15565,True,Muchinsky,1954-04-27
15566,Baoqiu,Azuma,1955-09-25
15600,Mack,Perna,1954-01-17
15601,Carrsten,Anily,1954-07-08
15651,Huan,Iwayama,1955-07-15
15656,Mohammad,Schaaf,1952-05-17
15682,Hiroyasu,Przulj,1953-01-07
15687,Dekang,Ambroszkiewicz,1955-08-26
15703,Chenye,Hanratty,1955-05-02
15708,Reuven,Kushnir,1955-03-04
15714,Troy,Bala,1952-10-02
15715,Insup,Ibel,1955-02-26
15726,Zhilian,Parascandalo,1954-12-23
15739,Poorav,Bahr,1953-10-29
15740,Stepehn,Pocchiola,1954-02-22
15750,Arumugam,Bresenham,1952-07-04
15765,Tonny,Taubenfeld,1955-01-19
15767,Baocai,Broomell,1954-07-30
15769,Pranay,Oskamp,1954-01-06
15788,Taegyun,Deyuan,1952-12-23
15799,Manton,Gelosh,1952-03-25
15809,Mingsen,Antonisse,1955-05-09
15819,Magdalena,Rajcani,1955-04-10
15821,Aleksander,Antonakopoulos,1954-02-03
15846,Bowen,Litecky,1953-05-29
15861,Gio,Anido,1952-02-24
15866,Angel,Seiwald,1952-12-21
15869,Guoxiang,Bala,1954-12-15
15876,Munehiro,Vakili,1952-09-13
15877,Yannik,Kroll,1955-03-01
15880,Miquel,Dechter,1955-01-23
15889,Sasan,Azumi,1955-03-06
15892,Lunjin,Pettis,1955-01-29
15901,Marsja,Fargier,1953-07-05
15902,Kazuhide,Stille,1954-09-09
15905,DeForest,Petersohn,1952-10-08
15911,Shaibal,Viele,1952-08-29
15934,Kensyu,Shinomoto,1955-02-06
15938,Garnik,Covnot,1952-05-06
15942,Murthy,Rosca,1955-07-07
15943,Yakkov,Demke,1953-12-31
15945,Hauke,Larfeldt,1952-09-05
15948,Karoline,Versino,1955-03-05
15955,Yuguang,Dratva,1953-12-30
15971,Arumugam,Aloia,1954-09-07
15977,King,Ballarin,1955-04-30
15978,Kaijung,Wielonsky,1954-01-31
15993,Yoshimitsu,Peir,1952-07-03
16000,Marek,Demos,1952-02-09
16018,Boutros,Papadias,1954-03-11
16019,Chaoyi,Heystek,1955-11-30
16025,Doowon,Luce,1952-04-06
16028,JiYoung,Takkinen,1952-09-20
16033,Wayne,Spelt,1954-08-06
16052,Maria,Rodham,1952-06-13
16066,Marsha,Penn,1952-12-05
16068,Leandro,Zongker,1952-03-05
16076,Marko,Ebeling,1954-11-04
16077,Kannan,Heemskerk,1952-10-12
16086,Mohammad,Denos,1953-03-25
16094,Berto,Rosar,1953-04-14
16099,Mohan,Ferretti,1953-10-14
16126,Tse,Crabtree,1955-09-23
